rms_x,rms_y,rms_z,pw,label
0.04,1.09,0.04,167.39,bearing
0.04,1.09,0.04,157.72,bearing
0.04,1.09,0.04,165.14,bearing
0.04,1.09,0.04,162.44,bearing
0.04,1.09,0.04,155.42,bearing
0.04,1.08,0.04,157.14,bearing
0.04,1.09,0.04,159.94,bearing
0.04,1.08,0.04,157.97,bearing
0.04,1.08,0.04,155.56,bearing
0.04,1.09,0.04,164.16,bearing
0.04,1.09,0.04,157.70,bearing
0.04,1.09,0.04,166.40,bearing
0.04,1.09,0.04,167.18,bearing
0.04,1.09,0.04,164.09,bearing
0.04,1.09,0.04,157.82,bearing
0.04,1.08,0.04,154.13,bearing
0.04,1.09,0.04,163.19,bearing
0.04,1.08,0.04,156.80,bearing
0.04,1.09,0.04,165.27,bearing
0.04,1.09,0.04,164.36,bearing
0.04,1.09,0.04,159.83,bearing
0.04,1.09,0.04,155.52,bearing
0.04,1.08,0.04,164.66,bearing
0.04,1.08,0.04,165.43,bearing
0.04,1.08,0.04,160.24,bearing
0.04,1.09,0.04,155.17,bearing
0.04,1.09,0.04,153.73,bearing
0.04,1.09,0.04,163.52,bearing
0.04,1.09,0.04,156.56,bearing
0.04,1.09,0.04,166.05,bearing
