rms_x,rms_y,rms_z,pw,label
0.06,1.09,0.05,48.30,fluctuations
0.06,1.09,0.05,55.65,fluctuations
0.06,1.09,0.05,61.60,fluctuations
0.06,1.09,0.05,69.97,fluctuations
0.06,1.09,0.05,78.26,fluctuations
0.06,1.09,0.05,85.91,fluctuations
0.06,1.09,0.05,94.83,fluctuations
0.06,1.09,0.05,105.19,fluctuations
0.06,1.09,0.05,113.42,fluctuations
0.06,1.09,0.05,121.43,fluctuations
0.06,1.09,0.05,133.82,fluctuations
0.06,1.09,0.05,143.73,fluctuations
0.06,1.09,0.05,148.94,fluctuations
0.06,1.09,0.05,155.72,fluctuations
0.06,1.09,0.05,162.76,fluctuations
0.06,1.09,0.05,169.63,fluctuations
0.06,1.09,0.05,171.69,fluctuations
0.06,1.09,0.05,168.12,fluctuations
0.06,1.09,0.05,170.69,fluctuations
0.06,1.09,0.05,170.67,fluctuations
0.06,1.09,0.05,162.43,fluctuations
0.06,1.09,0.05,151.47,fluctuations
0.06,1.09,0.05,80.03,fluctuations
0.06,1.09,0.05,43.79,fluctuations
0.06,1.09,0.05,25.40,fluctuations
0.06,1.09,0.06,15.90,fluctuations
0.06,1.09,0.05,10.45,fluctuations
0.06,1.09,0.05,7.82,fluctuations
0.06,1.09,0.05,7.41,fluctuations
0.06,1.09,0.05,7.46,fluctuations
0.06,1.09,0.05,8.55,fluctuations
0.06,1.09,0.05,13.98,fluctuations
0.06,1.09,0.05,20.26,fluctuations
0.06,1.09,0.05,26.33,fluctuations
0.06,1.09,0.05,33.62,fluctuations
0.06,1.09,0.05,41.03,fluctuations
0.06,1.09,0.05,48.54,fluctuations
0.06,1.09,0.05,53.62,fluctuations
0.06,1.09,0.05,62.04,fluctuations
0.06,1.09,0.05,68.97,fluctuations
0.06,1.09,0.05,76.11,fluctuations
0.06,1.09,0.05,84.95,fluctuations
0.06,1.09,0.05,95.85,fluctuations
0.06,1.09,0.05,105.25,fluctuations
0.06,1.09,0.05,112.70,fluctuations
0.06,1.09,0.05,121.73,fluctuations
0.06,1.09,0.05,130.44,fluctuations
0.06,1.09,0.05,136.24,fluctuations
0.06,1.09,0.05,146.52,fluctuations
0.06,1.09,0.05,155.14,fluctuations
0.06,1.09,0.05,160.44,fluctuations
0.05,1.09,0.05,162.30,fluctuations
0.06,1.09,0.05,161.00,fluctuations
0.06,1.09,0.05,158.20,fluctuations
0.06,1.09,0.05,158.55,fluctuations
0.06,1.09,0.05,161.27,fluctuations
0.06,1.09,0.05,167.89,fluctuations
0.06,1.09,0.05,162.89,fluctuations
0.06,1.09,0.05,160.85,fluctuations
0.06,1.09,0.05,159.80,fluctuations
0.06,1.09,0.05,118.97,fluctuations
0.06,1.09,0.05,63.59,fluctuations
0.06,1.09,0.05,35.37,fluctuations
0.06,1.09,0.05,21.18,fluctuations
